"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",-0.050941986477612,-0.226542434512021,0.124658461556797,0.51299093357889,0.51299093357889
"2","DTI_PC",-0.075859362190526,-0.243153528775279,0.0914348043942269,0.406067801583083,0.487281361899699
"3","BRIA_PC",0.105532957323934,-0.0776224389318926,0.288688353579761,0.35421185564778,0.487281361899699
"4","SMT_PC",-0.0751336725259172,-0.250480037957655,0.10021269290582,0.375953699333523,0.487281361899699
"5","SMTmc_PC",-0.0901483902766455,-0.261195711140845,0.0808989305875537,0.276648742973696,0.487281361899699
"6","WMTI_PC",0.103218163858123,-0.0780221892856677,0.284458517001914,0.145270516216252,0.487281361899699
