"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",0.000136635187239616,-0.175541977868328,0.175815248242807,0.998389698866459,0.998389698866459
"2","DTI_PC",0.0229611825990376,-0.138868783563796,0.184791148761871,0.784962229087482,0.998389698866459
"3","BRIA_PC",-0.0804816271373541,-0.26373621304017,0.102772958765462,0.400026644454036,0.998389698866459
"4","SMT_PC",0.0463069349095756,-0.126167088719428,0.218780958538579,0.545492310768601,0.998389698866459
"5","SMTmc_PC",0.0404924699934615,-0.127605212500907,0.20859015248783,0.608188135188372,0.998389698866459
"6","WMTI_PC",0.0171060556984914,-0.148402706477222,0.182614817874205,0.840309785044665,0.998389698866459
