"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",0.00443596684542331,-0.170416842525769,0.179288776216616,0.953670084160492,0.953670084160492
"2","DTI_PC",-0.012890276874424,-0.178577286428566,0.152796732679718,0.881129470401136,0.953670084160492
"3","BRIA_PC",0.0781909011636703,-0.104986964008268,0.261368766335608,0.414959910929637,0.953670084160492
"4","SMT_PC",-0.0114392200393434,-0.184855265576966,0.161976825498279,0.885296597059175,0.953670084160492
"5","SMTmc_PC",-0.0169440022001816,-0.185957971357586,0.152069966957223,0.83260191599514,0.953670084160492
"6","WMTI_PC",-0.0536964668154212,-0.236803554203425,0.129410620572583,0.0912228550949619,0.547337130569772
