"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",-0.0575693444201811,-0.230052903447357,0.114914214606994,0.563273815351216,0.877561944864893
"2","DTI_PC",-0.0115815320285386,-0.172841271528807,0.14967820747173,0.877561944864893,0.877561944864893
"3","BRIA_PC",0.0172363601161635,-0.162488315924237,0.196961036156564,0.815844524712119,0.877561944864893
"4","SMT_PC",0.0301026670235595,-0.139952494630875,0.200157828677994,0.72927436622916,0.877561944864893
"5","SMTmc_PC",0.0213463780132117,-0.145162417616003,0.187855173642426,0.805333077715082,0.877561944864893
"6","WMTI_PC",0.0308174390973345,-0.148746375727801,0.210381253922471,0.313635253032007,0.877561944864893
