"","regions","est","ci_l","ci_h","p","pFDR"
"604","FA_PosteriorcoronaradiataL",0.0657998864993923,-0.112824181351868,0.244423954350653,0.477647631811002,0.779221234640693
"605","FA_PosteriorthalamicradiationR",-0.0968539143172968,-0.260030700516751,0.0663228718821575,0.231535723915671,0.63229011695133
"606","FA_PosteriorthalamicradiationL",-0.0960168416286885,-0.259830968711891,0.0677972854545143,0.241839546365386,0.638088274553914
"607","FA_SagittalstratumR",0.111551864325074,-0.0588813061755727,0.281985034825721,0.204779768295025,0.595831251680425
"608","FA_SagittalstratumL",-0.0200233534649093,-0.190494282243569,0.15044757531375,0.819938461001634,0.938772815081686
"609","FA_ExternalcapsuleR",0.254306396964729,0.0816665206705706,0.426946273258887,0.00476863496361062,0.105182030075725
"610","FA_ExternalcapsuleL",0.206991855414837,0.0330671848053049,0.380916526024369,0.033387523381955,0.314100004478344
"611","FA_CingulumcingulategyrusR",0.162007004076105,-0.0147668057761278,0.338780813928338,0.074859775926214,0.425349562859247
"612","FA_CingulumcingulategyrusL",0.0830198051211167,-0.0920779806683387,0.258117590910572,0.367864700981885,0.712828995914132
"613","FA_CingulumhippocampusR",0.240174362996033,0.0620933877597494,0.418255338232317,0.0115512954558109,0.172364618195494
"614","FA_CingulumhippocampusL",0.197180040167,0.0191256756604821,0.375234404673519,0.0435883972793942,0.355816871100106
"615","FA_Fornix_StriaterminalisR",-0.0907971436350174,-0.249577512317355,0.0679832250473199,0.30006285930787,0.675182476029502
"616","FA_Fornix_StriaterminalisL",-0.142975033926764,-0.304636289395655,0.018686221542127,0.0982971486735604,0.461829318155628
"617","FA_SuperiorlongitudinalfasciculusR",-0.136154108123412,-0.315912633967614,0.0436044177207901,0.160850237037049,0.53962660167268
"618","FA_SuperiorlongitudinalfasciculusL",-0.0513279444850208,-0.230855673051417,0.128199784081375,0.611253618899531,0.841063413877193
"619","FA_SuperiorfrontooccipitalfasciculusR",-0.118620950759132,-0.299057562076823,0.0618156605585584,0.239470904697611,0.638088274553914
"620","FA_SuperiorfrontooccipitalfasciculusL",-0.0433124405729097,-0.225687801763512,0.139062920617692,0.650795371109114,0.861762087963245
"621","FA_UncinatefasciculusR",0.39238427575743,0.211293644223833,0.573474907291026,8.8531987264767e-05,0.00789199429331637
"622","FA_UncinatefasciculusL",0.0763148273971629,-0.105939177845348,0.258568832639673,0.450211041184655,0.754931000226223
"623","FA_TapetumR",-0.258988851616039,-0.42405512897365,-0.0939225742584277,0.00151664029697416,0.0562593304201626
"624","FA_TapetumL",-0.196228458285583,-0.367984580838575,-0.0244723357325911,0.024047119360371,0.272825499652209
"625","MD_Middlecerebellarpeduncle",-0.0442472353574515,-0.227783649135369,0.139289178420466,0.676390386285082,0.882063952020671
"626","MD_Pontine",-0.0960099750993262,-0.278229324700631,0.0862093745019784,0.263559295369593,0.657735274905655
"627","MD_GenuCC",-0.25076959784962,-0.412818687957106,-0.0887205077421344,0.000479803056339019,0.024949758929629
"628","MD_BodyCC",-0.378719940176772,-0.542348087741252,-0.215091792612292,1.72274806633662e-07,7.16663195596032e-05
"629","MD_SpleniumCC",-0.129887179903123,-0.299007994521082,0.0392336347148348,0.0783009059695106,0.426722841266154
"630","MD_Fornix",0.136951901402666,-0.0099116087765293,0.283815411581861,0.0734828250069376,0.425349562859247
"631","MD_CorticospinaltractR",-0.0311611090322496,-0.214125429640661,0.151803211576162,0.707266322259932,0.888890604411274
"632","MD_CorticospinaltractL",0.0493879432513311,-0.133721772460048,0.23249765896271,0.610699460799599,0.841063413877193
"633","MD_MediallemniscusR",0.0749604792676825,-0.107508965793761,0.257429924329126,0.43428516275436,0.742618133935357
"634","MD_MediallemniscusL",0.0778350550204025,-0.104250848711796,0.259920958752602,0.420229742300172,0.738980290778807
