"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",-0.0390934106002263,-0.214996706996074,0.136809885795621,0.579883862795291,0.688306527875068
"2","DTI_PC",-0.0559083388427155,-0.218710201401201,0.10689352371577,0.528803686012386,0.688306527875068
"3","BRIA_PC",-0.0890399330420771,-0.272231332162371,0.0941514660782166,0.432498356202248,0.688306527875068
"4","SMT_PC",-0.0712264169658876,-0.245335923599254,0.102883089667479,0.368940283226096,0.688306527875068
"5","SMTmc_PC",0.0840608067178495,-0.0866962222759125,0.254817835711612,0.287741564606491,0.688306527875068
"6","WMTI_PC",-0.0375426467879215,-0.209622045036398,0.134536751460555,0.688306527875068,0.688306527875068
