"","regions","est","ci_l","ci_h","p","pFDR"
"493","rk_SuperiorcerebellarpeduncleR",-0.285383171697899,-0.465247118085894,-0.105519225309903,0.00146068643566395,0.0607645557236204
"494","rk_SuperiorcerebellarpeduncleL",-0.190223102669111,-0.371206166347107,-0.0092400389911162,0.0263895381582896,0.365934929128282
"495","rk_CerebralpeduncleR",0.0153517222434034,-0.163909689054533,0.194613133541339,0.858774320009257,0.951579295669381
"496","rk_CerebralpeduncleL",0.062689972407326,-0.117269933942517,0.242649878757169,0.440439905553503,0.853523295234118
"497","rk_AnteriorlimbofinternalcapsuleR",0.117655234093228,-0.0592124401549426,0.294522908341398,0.160001150422033,0.672328066419857
"498","rk_AnteriorlimbofinternalcapsuleL",0.0157721141957352,-0.161295391124169,0.19283961951564,0.87786741256305,0.955093963363073
"499","rk_.PosteriorlimbofinternalcapsuleR",0.145135933154679,-0.0372536463339124,0.327525512643271,0.0900404517838515,0.559057133463914
"500","rk_PosteriorlimbofinternalcapsuleL",0.131237953842926,-0.0502561063869126,0.312732014072765,0.163409082899276,0.675415873336012
"501","rk_RetrolenticularpartofinternalcapsuleR",-0.176044326731485,-0.354809238046447,0.00272058458347646,0.0346097111440533,0.407480372714892
"502","rk_RetrolenticularpartofinternalcapsuleL",-0.061704669679515,-0.241023823919536,0.117614484560506,0.501583075324485,0.870178335827466
"503","rk_AnteriorcoronaradiataR",0.134547905844839,-0.0369723392621255,0.306068150951804,0.0984056656527058,0.571210561556172
"504","rk_AnteriorcoronaradiataL",0.0507460980539905,-0.119806075873427,0.221298271981408,0.576741692634417,0.870178335827466
"505","rk_SuperiorcoronaradiataR",0.112076314444373,-0.0661653367172128,0.290317965605958,0.147635108833044,0.648837342222418
"506","rk_SuperiorcoronaradiataL",0.0308344278000134,-0.147030322842195,0.208699178442222,0.679638225305732,0.900452475323358
"507","rk_PosteriorcoronaradiataR",-0.0438187060129496,-0.222350454661484,0.134713042635585,0.562929685053298,0.870178335827466
"508","rk_PosteriorcoronaradiataL",0.031220305055777,-0.147251922703579,0.209692532815133,0.695925016302847,0.902408769819229
"509","rk_PosteriorthalamicradiationR",-0.140126045551753,-0.311116316666189,0.0308642255626838,0.0928316178100357,0.564770345618464
"510","rk_PosteriorthalamicradiationL",-0.1303767817733,-0.299044856991857,0.0382912934452566,0.115662428854645,0.596831938553316
"511","rk_SagittalstratumR",0.0732961426487805,-0.102533107501186,0.249125392798747,0.409350965827684,0.853245870895322
"512","rk_SagittalstratumL",-0.0544948452954581,-0.229230153442153,0.120240462851237,0.547551001484348,0.870178335827466
"513","rk_ExternalcapsuleR",0.14703680425436,-0.0317874573679697,0.325861065876689,0.0745022527837222,0.522352873449918
"514","rk_ExternalcapsuleL",0.110530519596725,-0.0693866446528347,0.290447683846285,0.245430338075492,0.817729020997307
"515","rk_CingulumcingulategyrusR",0.0768623847487041,-0.0967670947459685,0.250491864243377,0.336049557140831,0.853245870895322
"516","rk_CingulumcingulategyrusL",0.0234547162396186,-0.149633141399129,0.196542573878366,0.789821398714514,0.928164428964822
"517","rk_CingulumhippocampusR",0.00830599973962372,-0.17148745124661,0.188099450725857,0.926001758390537,0.970547482693468
"518","rk_CingulumhippocampusL",0.0518337285949736,-0.127838940249332,0.231506397439279,0.5550710626834,0.870178335827466
"519","rk_Fornix_StriaterminalisR",-0.120838270992143,-0.292928727567376,0.0512521855830892,0.123245095235152,0.604904130760714
"520","rk_Fornix_StriaterminalisL",-0.163931441584595,-0.335651386719209,0.00778850355001989,0.0693899804489248,0.50633651147923
"521","rk_SuperiorlongitudinalfasciculusR",-0.0971291634654824,-0.275903282197152,0.0816449552661869,0.268008536455285,0.837529684669361
"522","rk_SuperiorlongitudinalfasciculusL",-0.128268382697024,-0.305893570377441,0.0493568049833938,0.162236725945178,0.675415873336012
"523","rk_SuperiorfrontooccipitalfasciculusR",-0.0689879040451007,-0.249403656905435,0.111427848815234,0.480366639588585,0.870178335827466
"524","rk_SuperiorfrontooccipitalfasciculusL",-0.16796237522988,-0.343749252140256,0.00782450168049661,0.0451150531346032,0.454061179935362
"525","rk_UncinatefasciculusR",0.161110961616017,-0.0178348398639079,0.340056763095942,0.0951339105628908,0.564770345618464
"526","rk_UncinatefasciculusL",0.105738764570414,-0.0755529207709816,0.28703044991181,0.214629270300713,0.767832565967353
"527","rk_TapetumR",-0.235135982579217,-0.40393086982168,-0.0663410953367537,0.00267446273338524,0.0855220979925806
"528","rk_TapetumL",-0.0827422255640652,-0.258972769873673,0.0934883187455427,0.341964388333148,0.853245870895322
"529","ak_Middlecerebellarpeduncle",-0.0799677435537328,-0.26236012149101,0.102424634383545,0.330479336523673,0.853245870895322
"530","ak_Pontine",0.0248864052886262,-0.157647050326241,0.207419860903494,0.772051775426771,0.921451495383694
"531","ak_GenuCC",0.126892410012424,-0.0563963834205407,0.310181203445389,0.116957919523033,0.596831938553316
"532","ak_BodyCC",0.122176526270583,-0.0605880241611019,0.304941076702269,0.0436091112570926,0.454061179935362
"533","ak_SpleniumCC",0.223301121816293,0.0403757948511974,0.406226448781389,5.60302402435395e-05,0.00889166376150076
"534","ak_Fornix",-0.0675800363644844,-0.231815272767772,0.0966552000388035,0.294834052211014,0.853245870895322
"535","ak_CorticospinaltractR",-0.0189124016949392,-0.201888340089714,0.164063536699836,0.811925646551237,0.938225191570319
"536","ak_CorticospinaltractL",0.0140494073783467,-0.167722030648081,0.195820845404775,0.871207488889918,0.953699378096706
"537","ak_MediallemniscusR",-0.0937596982814881,-0.275976898755007,0.0884575021920312,0.170026649361251,0.680410197751748
"538","ak_MediallemniscusL",-0.0165432169627369,-0.199145331400253,0.166058897474779,0.831436819007547,0.945882543410591
"539","ak_InferiorcerebellarpeduncleR",-0.0773805232585491,-0.256032446370521,0.101271399853423,0.347396837931724,0.853245870895322
"540","ak_InferiorcerebellarpeduncleL",0.024786450520979,-0.155401299405017,0.204974200446975,0.726305541165085,0.91634452599917
"541","ak_SuperiorcerebellarpeduncleR",2.96820070680279e-05,-0.18149720888527,0.181556572899406,0.999644635466442,0.999644635466442
"542","ak_SuperiorcerebellarpeduncleL",-0.0199628332218854,-0.2022660052785,0.162340338834729,0.746772150814941,0.91634452599917
"543","ak_CerebralpeduncleR",0.123017096638524,-0.0595382387627969,0.305572432039845,0.0637756430215386,0.496337505876116
"544","ak_CerebralpeduncleL",0.115175478489624,-0.0669273275152099,0.297278284494458,0.107131996998658,0.590943911302215
"545","ak_AnteriorlimbofinternalcapsuleR",-0.0353084878267988,-0.204242939597959,0.133625963944362,0.448894109235043,0.858075977029106
"546","ak_AnteriorlimbofinternalcapsuleL",0.00258655802087138,-0.173566970364105,0.178740086405848,0.967388145000547,0.98878002044282
"547","ak_.PosteriorlimbofinternalcapsuleR",0.014380011848499,-0.167871832307233,0.196631856004231,0.79465458341538,0.930327317169225
"548","ak_PosteriorlimbofinternalcapsuleL",0.0323278557509328,-0.149929405336831,0.214585116838697,0.533948504527641,0.870178335827466
"549","ak_RetrolenticularpartofinternalcapsuleR",-0.005004317320342,-0.186538211640835,0.176529577000151,0.934830911859783,0.975709600960223
"550","ak_RetrolenticularpartofinternalcapsuleL",-0.0535455863928559,-0.235431853605342,0.128340680819631,0.355090286910776,0.853245870895322
"551","ak_AnteriorcoronaradiataR",0.110272203511136,-0.0635551771899603,0.284099584212233,0.0981088899586026,0.571210561556172
"552","ak_AnteriorcoronaradiataL",0.0797611345725219,-0.0962974242039405,0.255819693348984,0.322408267231315,0.853245870895322
"553","ak_SuperiorcoronaradiataR",0.13662998522532,-0.0379437821122225,0.311203752562863,0.0384294960527421,0.432167252796693
"554","ak_SuperiorcoronaradiataL",0.0370532615457218,-0.13571783221489,0.209824355306334,0.586669440511824,0.870178335827466
"555","ak_PosteriorcoronaradiataR",0.0294659514576467,-0.143354256620678,0.202286159535972,0.66514641455065,0.889803631779068
"556","ak_PosteriorcoronaradiataL",-0.0218403862458693,-0.195474593347326,0.151793820855587,0.747917461843006,0.91634452599917
"557","ak_PosteriorthalamicradiationR",-0.0809091034226215,-0.260139803420165,0.0983215965749225,0.219764039158507,0.779163411561978
"558","ak_PosteriorthalamicradiationL",-0.108803808228945,-0.287808359695576,0.0702007432376863,0.136985582614611,0.630841354623744
"559","ak_SagittalstratumR",0.00120336787234924,-0.178120911023114,0.180527646767813,0.985021753453606,0.992978310428191
"560","ak_SagittalstratumL",-0.0314034268499584,-0.212188892443531,0.149382038743614,0.599283379892707,0.870178335827466
"561","ak_ExternalcapsuleR",0.106920479977086,-0.0740974878932608,0.287938447847432,0.0881266266930347,0.552673518155313
"562","ak_ExternalcapsuleL",-0.00182799278728757,-0.18309519555722,0.179439209982645,0.979687451028428,0.991003499087303
"563","ak_CingulumcingulategyrusR",-0.0546835423355341,-0.234007335177023,0.124640250505955,0.388974127647283,0.853245870895322
"564","ak_CingulumcingulategyrusL",-0.0538493630208579,-0.232494343486642,0.124795617444926,0.364291340622673,0.853245870895322
"565","ak_CingulumhippocampusR",0.133999140578249,-0.0485633277598794,0.316561608916377,0.0729942463696219,0.522352873449918
"566","ak_CingulumhippocampusL",0.117652022566207,-0.0645459933210305,0.299850038453445,0.132823683321047,0.627079335463231
"567","ak_Fornix_StriaterminalisR",-0.0462378115063958,-0.229639414136337,0.137163791123546,0.523848364349796,0.870178335827466
"568","ak_Fornix_StriaterminalisL",-0.0737737073955214,-0.25698969384684,0.109442279055797,0.294749299731276,0.853245870895322
"569","ak_SuperiorlongitudinalfasciculusR",0.022258622765636,-0.150260485102047,0.194777730633319,0.736448820396242,0.91634452599917
"570","ak_SuperiorlongitudinalfasciculusL",-0.0220276283046803,-0.195713326661796,0.151658070052435,0.764538225595476,0.918851596659349
"571","ak_SuperiorfrontooccipitalfasciculusR",0.0610681599952944,-0.107498908478973,0.229635228469561,0.264861788249174,0.837529684669361
"572","ak_SuperiorfrontooccipitalfasciculusL",-0.132068081598629,-0.298150665113759,0.0340145019165009,0.0845466927334384,0.551050554732045
