"","PCs","est","ci_l","ci_h","p","pFDR"
"1","DKI_PC",0.100730284578671,-0.0727484617409663,0.274209030898308,0.376428654823812,0.857480787316768
"2","DTI_PC",0.0249284424140453,-0.13223372979446,0.182090614622551,0.736944258260211,0.857480787316768
"3","BRIA_PC",0.0132212112615635,-0.166590221591755,0.193032644114882,0.857480787316768,0.857480787316768
"4","SMT_PC",0.068566357191629,-0.100899443064044,0.238032157447302,0.46769881860965,0.857480787316768
"5","SMTmc_PC",0.0634564932991314,-0.102469205390383,0.229382191988646,0.513801331829244,0.857480787316768
"6","WMTI_PC",0.0155685680829164,-0.144223985012489,0.175361121178321,0.822941542243401,0.857480787316768
